Treatment_Type,Total_Visits,Completed,Completion_Rate
Tooth Extraction,517,517,100.0
Teeth Whitening,251,251,100.0
Teeth Cleaning,9,9,100.0
Scaling and Polishing,275,275,100.0
Scaling,21,21,100.0
Root Canal,329,329,100.0
Pediatric Dental,13,13,100.0
Partial Denture,228,228,100.0
Orthodontic Consultation,177,177,100.0
Metal Braces Treatment,539,539,100.0
Implant,225,225,100.0
Gum Treatment,8,8,100.0
Fixed Bridge,284,284,100.0
Filling,240,240,100.0
Deep Scaling and Root Planing,183,183,100.0
Crown/Cap,94,94,100.0
Consultation,670,670,100.0
Complete Denture,218,218,100.0
Aligner,322,322,100.0
